RK,WIDE RECEIVER,TM,BYE,FPS,VORP
111,Malik Washington,MIA,12,47.77447052,-53.305532
112,Van Jefferson,TEN,10,46.22677789,-54.85322464
113,Konata Mumpfield,LAR,8,45.49289992,-55.58710261
114,Parker Washington,JAX,8,43.94290914,-57.13709339
115,Jaylin Noel,HOU,6,43.75508821,-57.32491432
116,Xavier Hutchinson,HOU,6,40.48823402,-60.59176851
117,Tez Johnson,TB,9,39.11408481,-61.96591772
118,Jalen McMillan,TB,9,39.06487426,-62.01512827
119,Casey Washington,ATL,5,38.22420167,-62.85580086
120,Noah Brown,WSH,12,38.07639457,-63.00360796
121,Scotty Miller,PIT,5,37.02803834,-64.05196419
122,KeAndre Lambert-Smith,LAC,12,35.0495105,-66.03049203
123,Jaylin Lane,WSH,12,35.04367489,-66.03632764
124,Jake Bobo,SEA,8,34.54743723,-66.5325653
125,Chimere Dike,TEN,10,33.69794118,-67.38206135
126,Luke McCaffrey,WSH,12,33.14098829,-67.93901424
127,JuJu Smith-Schuster,KC,10,31.53908215,-69.54092038
128,Tyler Johnson,NYJ,9,30.65579069,-70.42421184
129,Elijah Moore,BUF,7,29.20010615,-71.87989638
130,Kalif Raymond,DET,8,26.67495088,-74.40505165
131,Tylan Wallace,BAL,7,26.51375019,-74.56625234
132,Jack Bech,LV,8,24.68440106,-76.39560146
133,KhaDarel Hodge,ATL,5,23.71459548,-77.36540705
134,Jordan Whittington,LAR,8,23.28328651,-77.79671602
135,Curtis Samuel,BUF,7,22.77171099,-78.30829154
136,John Metchie,PHI,9,22.17571735,-78.90428518
137,Dareke Young,SEA,8,21.12705366,-79.95294887
138,Dermarcus Robinson,SF,14,21.07876478,-80.00123775
139,Tim Patrick,JAX,8,20.98455156,-80.09545097
140,Cedrick Wilson,NO,11,20.90119663,-80.17880589
141,David Moore,CAR,14,20.78226008,-80.29774245
142,Beaux Collins,NYG,14,20.41693911,-80.66306342
143,Ben Skowronek,PIT,5,19.55659354,-81.52340899
144,Savion Williams,GB,5,19.1119113,-81.96809123
145,Jalen Nailor,MIN,6,18.44003621,-82.63996632
146,Sterling Shepard,TB,9,17.77024024,-83.30976229
147,Jalen Royals,KC,10,16.87758815,-84.20241438
148,Marquez Valdes-Scantling,SF,14,16.6013801,-84.47862243
149,Darius Cooper,PHI,9,14.76929687,-86.31070566
150,Devontez Walker,BAL,7,14.04624637,-87.03375616
151,Charlie Jones,CIN,10,13.7918892,-87.28811333
152,Ryan Flournoy,DAL,10,13.18405538,-87.89594715
153,Xavier Weaver,ARI,8,12.25749121,-88.82251132
154,Trent Sherfield,DEN,12,11.52773173,-89.5522708
155,Devin Duvernay,CHI,5,10.95869854,-90.12130399
156,DeAndre Carter,CLE,9,10.51054275,-90.56945978
157,Dominic Lovett,DET,8,10.35094024,-90.72906229
158,Tai Felton,MIN,6,9.701147556,-91.37885497
159,Efton Chism,NE,14,9.692413844,-91.38758869
160,Jordan Watkins,SF,14,9.337880164,-91.74212237
161,Jimmy Horn,CAR,14,9.065337626,-92.0146649
162,Anthony Gould,IND,11,8.823054414,-92.25694811
163,Austin Trammell,JAX,8,8.646219436,-92.43378309
164,Jalin Hyatt,NYG,14,8.284654881,-92.79534765
165,Bryce Oliver,TEN,10,8.000259628,-93.0797429
166,Jahdae Walker,CHI,5,7.87565884,-93.20434369
167,Brycen Tremayne,CAR,14,7.78783546,-93.29216707
168,Dee Eskridge,MIA,12,7.396976099,-93.68302643
169,Derius Davis,LAC,12,6.731301565,-94.34870096
