RK,OVERALL PLAYER,POS RK,BYE,FPS,VORP
112,Roman Wilson,WR66,5,123.5925272,22.51252469
113,Zach Charbonnet,RB38,8,134.9013811,21.63352085
114,Dylan Sampson,RB39,9,133.8243641,20.77190723
115,David Njoku,TE5,9,150.8158575,19.21971892
116,Justin Fields,QB6,9,333.8519458,19.11081328
117,Wan'Dale Robinson,WR67,14,119.9454218,18.86541926
118,Amari Cooper,WR68,8,119.2982876,18.21828503
119,Mark Andrews,TE6,7,149.2670091,17.67087056
120,Sam LaPorta,TE7,8,144.7188352,13.12269667
121,Baker Mayfield,QB7,9,332.2843477,13.00765642
122,Jaydon Blue,RB40,10,121.9406047,11.26489971
123,Jake Ferguson,TE8,10,142.7492813,11.15314278
124,Tory Horton,WR69,8,111.9752963,10.89529377
125,Nick Chubb,RB41,6,120.9960453,10.50925216
126,Quinshon Judkins,RB42,9,119.7178052,9.48666008
127,Rashod Bateman,WR70,7,107.4666911,6.386688552
128,Kyle Pitts,TE9,5,136.3233378,4.727199298
129,Tucker Kraft,TE10,5,135.4369375,3.840798934
130,Tyjae Spears,RB43,10,111.2346129,2.700106285
131,Patrick Mahomes,QB8,10,322.174038,2.639487851
132,Alec Pierce,WR71,11,103.202365,2.122362454
133,Hunter Henry,TE11,14,133.6929205,2.096781939
134,Dyami Brown,WR72,8,101.2876071,0.207604532
135,Rhamondre Stevenson,RB44,14,107.8594801,0
136,Zay Jones,WR73,8,101.0800025,0
137,Evan Engram,TE12,12,131.5961386,0
138,Tre' Harris,WR74,12,100.8458709,-0.23413158
139,Luther Burden,WR75,5,100.6419081,-0.438094432
140,T.J. Hockenson,TE13,6,130.0335829,-1.562555618
141,Brandon Aiyuk,WR76,14,98.38375342,-2.696249106
142,Darius Slayton,WR77,14,98.1386671,-2.941335426
143,DeAndre Hopkins,WR78,7,97.48350839,-3.596494144
144,Quentin Johnston,WR79,12,93.49524437,-7.584758162
145,Mason Taylor,TE14,9,123.5182524,-8.07788616
146,Ray Davis,RB45,7,97.06459424,-8.63590868
147,Caleb Williams,QB9,5,313.3672234,-9.671173394
148,Najee Harris,RB46,12,93.92020871,-11.1514171
149,Elic Ayomanor,WR80,10,89.78458634,-11.29541619
150,Arian Smith,WR81,9,89.5178921,-11.56211043
151,Dalton Kincaid,TE15,7,119.9335627,-11.66257586
152,Trey Benson,RB47,8,92.32453022,-12.42795989
153,Tank Bigsby,RB48,8,91.98012804,-12.70348163
154,Rachaad White,RB49,9,91.88655495,-12.77834011
155,Tyler Allgeier,RB50,5,91.77415796,-12.8682577
156,Brenton Strange,TE16,8,118.1112476,-13.48489096
157,Kendre Miller,RB51,11,89.1826445,-14.94146847
158,Tyler Warren,TE17,11,116.3032384,-15.29290013
159,Brock Purdy,QB10,14,307.6393925,-15.64925429
160,Brashard Smith,RB52,10,88.17271205,-15.74941443
161,Isaac TeSlaa,WR82,8,84.47449007,-16.60551246
162,Bo Nix,QB11,12,306.6460715,-17.28489273
163,Darren Waller,TE18,12,113.9314978,-17.66464075
164,Rico Dowdle,RB53,14,85.69071134,-17.73501499
165,Jerome Ford,RB54,9,85.48201317,-17.90197353
166,Joe Mixon,RB55,6,84.84043011,-18.41523998
167,Kyler Murray,QB12,8,305.4935301,-20.17909238
168,Braelon Allen,RB56,9,79.99901924,-22.28836867
169,Tutu Atwell,WR83,8,78.59863986,-22.48136267
170,Isaiah Likely,TE19,7,108.5505889,-23.04554961
171,Dak Prescott,QB13,10,304.2865787,-23.23152429
172,Ja'Tavion Sanders,TE20,14,107.5533973,-24.04274129
173,Brian Robinson,RB57,14,76.6772768,-24.94576263
174,Adonai Mitchell,WR84,11,75.52195581,-25.55804672
175,Tahj Brooks,RB58,10,75.03182193,-26.26212652
176,Michael Wilson,WR85,8,74.5707489,-26.50925363
177,Kyle Monangai,RB59,5,73.39902785,-27.56836179
178,Woody Marks,RB60,6,73.27732683,-27.6657226
179,Kenneth Gainwell,RB61,5,72.986134,-27.89867687
180,Trevor Lawrence,QB14,8,299.6398196,-28.4323321
181,Dallas Goedert,TE21,9,103.0868814,-28.50925713
182,Calvin Austin,WR86,5,72.36993863,-28.71006389
183,Adam Thielen,WR87,6,71.94800301,-29.13199951
184,Dont'e Thornton,WR88,8,69.90180115,-31.17820138
185,Will Shipley,RB62,9,67.61984775,-32.19170587
186,Theo Johnson,TE22,14,99.38049265,-32.2156459
187,Nick Westbrook-Ikhine,WR89,12,67.88171476,-33.19828777
188,Zach Ertz,TE23,12,98.38311585,-33.2130227
189,Jonnu Smith,TE24,5,98.25890465,-33.3372339
