RK,Player,TM,BYE,RUSH YARDS,RUSH TD,TGTS,REC,RECV YARDS,RECV TD,FPS,AUC$
54,Andrei Iosivas,CIN,10,0,0,90.97356268,59.2237893,723.1224674,6.159274088,138.8797859,10.59191631
55,Jordan Addison,MIN,6,0,0,99.1086642,60.95182848,770.431112,5.180905421,138.604458,10.51476639
56,Romeo Doubs,GB,5,0,0,92.8770304,60.74157788,747.7288237,5.345258854,137.2152244,10.12548782
57,Stefon Diggs,NE,14,0,0,101.6528755,63.73635295,766.1109625,4.397808354,134.8661228,9.467243642
58,Michael Pittman,IND,11,0,0,101.4839314,64.23932855,747.7457843,4.496752999,133.8747607,9.189453032
59,Christian Kirk,HOU,6,22.06165722,0.175368192,101.384283,62.35133405,694.5938613,4.801052721,132.6997444,8.860200488
60,Xavier Legette,CAR,14,0,0,93.658355,57.88086339,742.6114773,4.688349935,131.331679,8.476853494
61,Jalen Coker,CAR,14,0,0,92.556492,59.88405032,685.0735357,4.611071875,126.11581,7.015309444
62,Josh Reynolds,NYJ,9,0,0,92.62890797,54.6510557,720.3009142,4.426735512,125.9160323,6.959329545
63,Keenan Allen,LAC,12,0,0,88.9170856,61.08603781,665.2269517,4.642538873,124.9209473,6.680495743
64,DeMario Douglas,NE,14,0,0,103.8627206,63.87557319,671.97103,4.151912258,124.0463631,6.435427609
65,Tyler Lockett,TEN,10,0,0,96.92181576,55.05159135,647.9572302,5.229901178,123.7009258,6.338632246
66,Roman Wilson,PIT,5,0,0,87.02694,53.78264892,692.7205181,4.571525158,123.5925272,6.308257777
67,Wan'Dale Robinson,NYG,14,38.98184216,0.319796689,100.1158435,66.27668841,615.0476684,3.247557732,119.9454218,5.286298601
68,Amari Cooper,LV,8,0,0,90.5217768,58.02445893,652.1949184,4.177761043,119.2982876,5.10496445
69,Tory Horton,SEA,8,0,0,75.62178624,46.7342639,670.1693443,3.59853832,111.9752963,3.052981511
70,Rashod Bateman,BAL,7,0,0,69.97918928,41.63761762,546.7019194,5.329615056,107.4666911,1.78962059
71,Alec Pierce,IND,11,0,0,70.41742176,44.71506282,612.5963606,3.264199586,103.202365,0.594709373
72,Dyami Brown,JAX,8,0,0,76.19275972,44.19180064,582.4479324,3.49115225,101.2876071,0.05817308
73,Zay Jones,ARI,8,0,0,79.70754125,49.25926049,545.7926063,3.645185276,101.0800025,0
74,Tre' Harris,LAC,12,0,0,68.2386936,43.46804782,595.5122552,3.260103587,100.8458709,0
75,Luther Burden,CHI,5,0,0,75.44738544,46.40014205,560.0497145,3.572810938,100.6419081,0
76,Brandon Aiyuk,SF,14,0,0,67.62736764,38.07420798,576.4435088,3.617049758,98.38375342,0
77,Darius Slayton,NYG,14,0,0,76.22456268,45.58228848,594.8488647,2.643772732,98.1386671,0
78,DeAndre Hopkins,BAL,7,0,0,64.59617472,39.98503215,482.2194877,4.878173923,97.48350839,0
79,Quentin Johnston,LAC,12,0,0,70.3065328,40.98870862,533.2630992,3.27909669,93.49524437,0
