RK,WR and TE COMBINED,POS RK,BYE,FPS,VORP
219,Xavier Weaver,WR153,8,12.25749121,-130.4917901
220,Hunter Long,TE67,8,12.0181796,-130.7311017
221,Trent Sherfield,WR154,12,11.52773173,-131.2215496
222,Will Dissly,TE68,12,11.50548833,-131.243793
223,Cade Stover,TE69,6,11.38852548,-131.3607559
224,Devin Duvernay,WR155,5,10.95869854,-131.7905828
225,DeAndre Carter,WR156,9,10.51054275,-132.2387386
226,Dominic Lovett,WR157,8,10.35094024,-132.3983411
227,Jelani Woods,TE70,9,10.02740705,-132.7218743
228,Colby Parkinson,TE71,8,10.00268723,-132.7465941
229,Tai Felton,WR158,6,9.701147556,-133.0481338
230,Efton Chism,WR159,14,9.692413844,-133.0568675
231,Moliki Matavao,TE72,11,9.601666643,-133.1476147
232,Jordan Watkins,WR160,14,9.337880164,-133.4114012
233,Mitchell Evans,TE73,14,9.240238004,-133.5090433
234,Jimmy Horn,WR161,14,9.065337626,-133.6839437
235,Anthony Gould,WR162,11,8.823054414,-133.9262269
236,Austin Trammell,WR163,8,8.646219436,-134.1030619
237,Jalin Hyatt,WR164,14,8.284654881,-134.4646264
238,Tanner Hudson,TE74,10,8.148863039,-134.6004183
239,Bryce Oliver,WR165,10,8.000259628,-134.7490217
240,Jahdae Walker,WR166,5,7.87565884,-134.8736225
241,Brycen Tremayne,WR167,14,7.78783546,-134.9614459
242,Ian Thomas,TE75,8,7.7062267,-135.0430546
243,Darnell Washington,TE76,5,7.546239855,-135.2030415
244,Dee Eskridge,WR168,12,7.396976099,-135.3523052
245,Charlie Kolar,TE77,7,7.330571141,-135.4187102
246,Tanner Conner,TE78,12,7.085668294,-135.663613
247,Shane Zylstra,TE79,8,6.941971819,-135.8073095
248,Tip Reiman,TE80,8,6.83841712,-135.9108642
249,Derius Davis,WR169,12,6.731301565,-136.0179798
250,Thomas Fidone,TE81,14,6.332923355,-136.416358
251,Kylen Granson,TE82,9,5.943621821,-136.8056595
252,Ben Yurosek,TE83,6,5.943616286,-136.805665
